,result
159,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Theodoros Chondrogiannis', 1253, 0.2584668510800774, 2)"
160,"('Local Graph Sparsification for Scalable Clustering', 20200228, 'Venu Satuluri', 'Guanfeng Liu', 887, 0.2086832419667734, 3)"
161,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Yaser Oulabi', 1332, 0.13038312643120975, 1)"
162,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Matteo Interlandi', 1063, 0.12878787878787884, 3)"
163,"('Querying Schemas With Access Restrictions', 20200301, 'Michael Benedikt', 'Raphael Bonaque', 1177, 0.12768959372630745, 3)"
164,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Fangjin Yang ', 854, 0.1694045955783718, 2)"
165,"('Towards Energy-Efficient Database Cluster Design', 20200302, 'Willis Lang', 'Joseph M. Hellerstein', 1125, 0.14962121212121215, 2)"
166,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Faisal Nawab', 851, 0.1961306209562122, 2)"
167,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Sudipto Das', 1236, 0.1708615839133525, 2)"
168,"('Query Optimization over Crowdsourced Data', 20200303, 'Hyunjung Park', 'Yuyang Dong', 1367, 0.14167959031948313, 1)"
169,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Danica Porobic', 796, 0.1924365588456244, 2)"
170,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Cheng Sheng', 775, 0.1566467270206684, 1)"
171,"('Partial Results in Database Systems', 20200304, 'Willis Lang', 'Philipp Rosch', 1149, 0.1497326203208556, 2)"
172,"('On Active Learning of Record Matching Packages', 20200306, 'Arvind Arasu', 'Rajendra Shinde', 1172, 0.16666666666666669, 3)"
173,"('On Active Learning of Record Matching Packages', 20200306, 'Arvind Arasu', 'Gregory Buehrer', 885, 0.16459622516043754, 3)"
174,"('On Active Learning of Record Matching Packages', 20200306, 'Arvind Arasu', 'Faisal Nawab', 851, 0.15681339625138896, 3)"
175,"('Performance Guarantees for Distributed Reachability Queries', 20200307, 'Wenfei Fan', 'Stephan Ewen', 1230, 0.264676321288617, 1)"
176,"('Performance Guarantees for Distributed Reachability Queries', 20200307, 'Wenfei Fan', 'Theodoros Chondrogiannis', 1253, 0.19151274029336146, 3)"
177,"('Performance Guarantees for Distributed Reachability Queries', 20200307, 'Wenfei Fan', 'Yoshitaka Yamamoto', 1347, 0.18698713457945126, 2)"
178,"('SIEF: Efficiently Answering Distance Queries for Failure Prone Graphs', 20200308, 'Yongrui Qin ', 'Michael T. Goodrich', 1078, 0.16940459557837176, 3)"
179,"('SIEF: Efficiently Answering Distance Queries for Failure Prone Graphs', 20200308, 'Yongrui Qin ', 'Kostas Zoumpatianos', 1004, 0.1565931015731422, 1)"
180,"('A Parallel and Scalable Processor for JSON Data', 20200309, 'Christina Pavlopoulou', 'Nurzhan Bakibayev', 1120, 0.14962121212121215, 3)"
181,"('PODS: A New Model and Processing Algorithms for Uncertain Data Streams', 20200310, 'Thanh T. L. Tran', 'Wang Lam', 1287, 0.21292400956729626, 3)"
182,"('Keyword-aware Optimal Route Search', 20200311, 'Xin Cao', 'Liang Jeff Chen', 1021, 0.13394201595676872, 3)"
183,"('PerfXplain: Debugging MapReduce Job Performance', 20200312, 'Nodira Khoussainova', 'Kostas Zoumpatianos', 1004, 0.20104852402058093, 2)"
184,"('PerfXplain: Debugging MapReduce Job Performance', 20200312, 'Nodira Khoussainova', 'Harold Lim', 899, 0.17691658690586945, 2)"
